id,brand,car_model,type,desc,problem,datetime,status
514775,一汽-大众,速腾,2020款 280TSI DSG 舒适型 国VI,一汽大众速腾加速时异响4S店不处理,"B33,",2020-08-27,信息审核
514773,陆风汽车,陆风X5,2018款 1.5T 手动 创享版 Plus,陆风X5车身整体生锈存在质量问题,"H79,",2020-08-27,信息审核
514765,华晨宝马,宝马1系,2018款 改款 118i 运动型,华晨宝马1系座椅调节故障希望质保维修,"H169,",2020-08-27,信息审核
514764,东南汽车,翼神,2011款 1.8 手动 致尚版豪华型,东南三菱翼神无法换挡4S店拖延不处理,"I295,N318,",2020-08-27,信息审核
514763,东风风行,菱智,2017款 1.5L 豪华型 7座 V3,东风风行菱智方向机漏油 售后无零件,"D58,N318,",2020-08-27,处理反馈
514762,众泰汽车,众泰Z700,2016款 1.8T 手动 豪华型,众泰Z700发动机车轮异响厂家无人处理,"A9,G125,",2020-08-27,信息审核
514756,一汽-大众,速腾,2017款 230TSI 自动 舒适型,一汽大众速腾行驶过程中变速箱有异响,"B33,",2020-08-27,信息审核
514753,华晨中华,中华V7,2018款 280T DCT 尊贵型 5座,华晨中华V7天窗漏水 顶棚脱落 售后无配件,"H179,N318,",2020-08-27,信息审核
514751,东风本田,本田CR-V,2019款 240TURBO CVT 两驱 舒适版 国V,东风本田CR-V经销商销售旧款车型不解决,"I295,I293,M280,",2020-08-27,厂家受理
514749,东风日产,逍客,2016款 2.0L CVT 豪华版,东风日产逍客高速行驶过程中动力消失,"B334,",2020-08-27,信息审核
514743,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱无法提速动力消失,"B334,B84,",2020-08-27,信息审核
514736,吉利汽车,吉利icon,2020款 300T DCT 银河限量版,吉利icon售后维修导致线束损坏希望厂家处理,"J299,J304,",2020-08-27,信息审核
514728,广汽三菱,欧蓝德,2019款 2.0L 两驱 畅享版 5座 国VI,广汽三菱欧蓝德发动机抖动熄火 座椅生锈,"A24,A163,A14,A35,H79,H164,",2020-08-27,厂家受理
514725,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 豪华版,奇瑞瑞虎8发动机失缸 大灯转向盲区大,"A24,H71,",2020-08-27,信息审核
514722,长城汽车,哈弗H6 Coupe,2018款 1.5T 自动 两驱 超豪型 红标,哈弗H6 Coupe前大灯进水厂家不予解决,"H88,",2020-08-27,处理反馈
514716,一汽-大众,探岳,2019款 380TSI 四驱 尊贵型 国VI,一汽大众探岳4S店退保险要求缴纳补偿金,"K307,",2020-08-27,信息审核
514714,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,一汽丰田卡罗拉新车发动机异响不解决问题,"A9,A38,I295,I281,I292,",2020-08-27,信息审核
514712,一汽-大众奥迪,奥迪A3,2014款 Sportback 1.4T 双离合 进取型,一汽大众奥迪A3轮速传感器多次损坏,"E62,N317,",2020-08-27,信息审核
514711,一汽-大众,宝来,2018款 1.5L 自动 时尚型,一汽大众宝来锦湖轮胎开裂希望厂家处理,"F100,",2020-08-27,信息审核
514709,一汽-大众,探岳,2019款 380TSI 四驱 R-Line 国VI,一汽大众探岳定损更换右后轮眉厂家无货,"N318,",2020-08-27,信息审核
514708,华晨宝马,宝马3系,2020款 325Li 首发版,华晨宝马3系发动机热管理模块故障漏冷却液,"A37,A191,",2020-08-27,信息审核
514705,宝马（进口）,宝马X5,2020款 xDrive30i M运动套装,进口宝马X5新车车漆有划痕要求退还定金,"M284,",2020-08-27,信息审核
514704,一汽-大众,T-ROC探歌,2019款 280TSI DSG 两驱 舒适型 国VI,一汽大众T-ROC探歌两侧尾灯有裂纹,"H220,I282,",2020-08-27,信息审核
514702,吉利汽车,帝豪GL,2017款 1.3T 手动 精英型,吉利帝豪GL底盘生锈经销商不予质保,"H79,I297,",2020-08-27,信息审核
514700,领克汽车,领克01,2017款 2.0T 自动 两驱 型,领克01变速箱顿挫 刹车异响 倒车影像不显示,"A85,B19,E43,H134,H101,",2020-08-27,处理反馈
514696,东风日产,奇骏,2014款 2.5L XV CVT 四驱 至尊版,东风日产奇骏变速箱阀体故障存在安全隐患,"B84,",2020-08-27,信息审核
514694,东风本田,本田CR-V,2017款 240TURBO 自动 四驱 豪华版,东风本田CR-V上坡时出现溜车现象,"E74,",2020-08-27,处理反馈
514693,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 豪华型 三厢,长安马自达昂克赛拉多媒体显示屏自然开裂,"H168,",2020-08-27,处理反馈
514689,众泰汽车,众泰T300,2018款 1.5L CVT 精英型,众泰T300起步时顿挫 倒车雷达时好时坏,"B19,H289,",2020-08-27,信息审核
514687,领克汽车,领克03,2019款 1.5TD DCT 劲版 国VI,领克03倒车影像失灵 中控及车门异响,"H134,H72,H93,J298,",2020-08-27,处理反馈
514685,上汽集团,锐腾,2016款 1.5TGI TST 豪华版,上汽名爵锐腾变速箱漏油一直无法解决,"B22,",2020-08-27,厂家受理
514684,上汽大众,朗逸,2018款 280TSI DSG 舒适版 国V,上汽大众朗逸蓄电池电压低发动机无法启动,"H146,",2020-08-27,信息审核
514683,海马汽车,海马S5青春版,2018款 1.6L CVT 豪华型,海马S5青春版天窗开关故障有异响现象,"H89,",2020-08-27,处理反馈
514681,广众汽车豪沃,豪沃,轻卡,广众汽车豪沃发动机故障灯亮电瓶报警,"A34,A160,H146,J298,",2020-08-27,信息审核
514680,众泰汽车,众泰T600,2015款 2.0T 自动 尊贵型,众泰T600空调不制冷变速箱挂D挡无法行驶,"B334,H101,",2020-08-27,信息审核
514675,宝沃汽车,宝沃BX7,2016款 28T 两驱 精英版 5座,宝沃BX7发动机漏防冻液要求厂家处理,"A37,",2020-08-27,处理反馈
514672,吉利汽车,博瑞,2021款 1.8T 领航版+,吉利博瑞4S店销售车辆无法按时交付,"I295,I293,I294,L312,",2020-08-27,处理反馈
514667,北京越野,北京BJ40,2018款 PLUS 2.3T 自动 四驱 旗舰型 国V,北京BJ40导航不精准而且导航无法升级,"H21,",2020-08-27,信息审核
514666,上汽大众,桑塔纳,2019款 1.5L 手动 风尚版 国VI,上汽大众桑塔纳天然气气管破裂4S店不解决,"H168,I297,",2020-08-27,信息审核
514665,东风标致,标致408,2018款 350THP 自动 豪华版 改款,东风标致408主驾驶侧车窗升降器损坏,"H67,",2020-08-27,处理反馈
514662,华晨宝马,宝马5系,2020款 530Li 尊享型 豪华套装,华晨宝马5系安全系统故障 娱乐系统故障,"H134,H170,",2020-08-27,信息审核
514658,长城汽车,哈弗M6,2018款 1.5T 手动 两驱 精英型,哈弗M6行驶时变速箱出现异常的响声,"B33,",2020-08-27,处理反馈
514657,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408驾驶舱进水 车内异味明显,"H185,H109,",2020-08-27,处理反馈
514655,东风雪铁龙,雪铁龙C4L,2014款 1.8L 手动 智驱版 劲享型,东风雪铁龙C4L方向盘松动 高速抖动,"D80,D337,",2020-08-27,信息审核
514654,吉利汽车,帝豪GL,2017款 1.3T 自动 尊贵型,吉利帝豪GL保险盒烧毁希望厂家处理问题,"H110,I294,",2020-08-27,处理反馈
514650,一汽-大众,宝来,2019款 1.5L 手动 时尚型,一汽大众宝来正常使用车身漆面有起泡现象,"H81,",2020-08-27,信息审核
514649,奇瑞汽车,艾瑞泽5,2016款 1.5L 手动 领潮版,奇瑞艾瑞泽5大灯进水起雾车身多处生锈,"H79,H88,",2020-08-27,处理反馈
514648,江铃福特,领界,2019款 EcoBoost 145 CVT 尊领型 国VI,江铃福特领界蓄电池亏电导致发动机无法启动,"H146,",2020-08-27,处理反馈
514647,一汽-大众,迈腾,2019款 280TSI DSG 领先型 国VI,一汽大众迈腾变速箱异响顿挫4S店不予解决,"B33,B19,I295,",2020-08-27,信息审核
514646,东风标致,标致408,2018款 350THP 自动 豪华版 改款,东风标致408蓄电池亏电导致发动机无法启动,"H146,",2020-08-27,处理反馈
514645,大众（进口）,途锐,2018款 3.0TSI 荣耀 典藏版,进口大众途锐4S店维修配件有质量问题,"N317,",2020-08-27,信息审核
514644,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放缴纳保险费后未上保险	售,"L313,",2020-08-27,信息审核
514642,海马汽车,海马8S,2019款 1.6TGDI 自动 智版,海马8S行驶时车身抖动严重希望尽快解决,"H268,",2020-08-27,用户评分
514641,上汽斯柯达,速派,2013款 1.4T DSG 绅仕版,斯柯达速派行驶中变速箱脱挡动力消失 ,"B246,",2020-08-27,信息审核
514622,一汽丰田,卡罗拉,2017款 1.2T S-CVT GL-i 改款,一汽丰田卡罗拉四个车门内侧有开裂的现象,"H168,",2020-08-27,信息审核
514618,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 进取型 国VI,一汽大众奥迪A4L变速器故障维修后异响,"B33,J300,",2020-08-27,信息审核
514615,奇瑞汽车,捷途X70,2020款 1.5T DCT 畅行版 6座,捷途X70行驶过程中两前减震器有异响,"G52,",2020-08-27,处理反馈
514613,东风日产,轩逸,2014款 1.6L XV CVT 尊享版,东风日产轩逸发动机故障 变速箱电脑故障,"A34,B115,",2020-08-27,信息审核
514611,江淮汽车,瑞风R3,2018款 1.6L CVT 豪华天窗型,江淮瑞风R3变速箱怠速异响希望尽快解决,"B33,",2020-08-27,处理反馈
514610,雷克萨斯,雷克萨斯ES,2018款 200 卓越版 国VI,雷克萨斯ES中控台异响多次维修未解决问题,"H93,",2020-08-27,厂家受理
514609,一汽-大众,高尔夫,2020款 挚爱版 280TSI DSG R-Line,一汽大众高尔夫经销商不退订金希望尽快处理,"K309,",2020-08-27,信息审核
514603,一汽丰田,亚洲龙,2019款 2.5L 进取版 国Ⅵ,一汽丰田亚洲龙发动机抖动熄火望厂家解决,"A24,A14,",2020-08-27,信息审核
514600,上汽大众,凌渡,2019款 280TSI DSG 舒适版 国VI,上汽大众凌渡4S店维修后仪表盘出现划痕,"I295,J300,",2020-08-27,信息审核
514597,东风风行,景逸X5,2017款 2.0L 手动 豪华型,东风风行景逸X5离合器分泵漏油严重,"C207,",2020-08-27,处理反馈
514595,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 精英型,奇瑞瑞虎8氛围灯开裂希望尽快处理,"H168,",2020-08-27,处理反馈
514587,一汽-大众奥迪,奥迪Q3,2017款 35 TFSI 风尚型,一汽大众奥迪Q3轮速传感器故障希望厂家处理,"H234,",2020-08-27,信息审核
514585,东风悦达起亚,智跑,2019款 2.0L 自动 智享豪华版,起亚智跑4S店销售重复收取保险费用不退还,"I295,M315,",2020-08-27,厂家受理
514581,北京奔驰,奔驰GLB,2020款 GLB 200 动感型,北京奔驰GLB车内异响多次维修未解决,"H164,J298,",2020-08-27,信息审核
514579,东风标致,标致301,2014款 1.6L 手动 舒适版,东风标致301搭电后ABS泵故障希望处理,"E74,",2020-08-27,处理反馈
514571,上汽大众,朗逸,2019款 朗逸启航 1.5L 自动 风尚版 国VI,上汽大众朗逸经销商出售展车 强制购买保险,"I293,K325,M283,",2020-08-27,信息审核
514564,奇瑞捷豹路虎,发现神行,2016款 2.0T HSE,奇瑞路虎发现神行凸轮轴损伤发动机故障灯亮,"A34,",2020-08-27,处理反馈
514562,长城汽车,长城C50,2012款 1.5T 时尚型,长城C50发动机烧机油异响 涡轮增压器渗油,"A9,A12,A63,A189,",2020-08-27,处理反馈
514560,东风日产,逍客,2016款 2.0L CVT 精英版,东风日产逍客行驶顿挫变速箱报故障码,"B19,B96,",2020-08-27,信息审核
514559,DS汽车,DS 5LS,2015款 1.6T 雅致版THP160,DS 5LS发动机高温 节温器不能开启,"A191,",2020-08-27,信息审核
514554,长城汽车,哈弗H7,2016款 2.0T 精英型,哈弗F7变速箱报警无法挂入倒挡要求解决,"B96,B246,J298,J301,",2020-08-27,处理反馈
514550,东风乘用车,风神A60,2016款 1.4T 手动 尊贵型,东风风神A60经销商过度维修更换未受损配件,"J306,",2020-08-27,处理反馈
514549,吉利汽车,帝豪GS,2018款 1.4T 自动 领潮版 领尚智联型,吉利帝豪GS变速箱顿挫加速无力4S店不解决,"A114,B19,B334,I295,",2020-08-27,处理反馈
514544,奇瑞新能源,奇瑞eQ,2015款 舒适型,奇瑞eQ动力电池漏液4S店不予保修,"H343,I297,",2020-08-27,厂家受理
514542,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408行驶中空调压缩机异响,"H101,",2020-08-27,处理反馈
514541,华晨宝马,宝马5系新能源,2020款 530Le 里程升级版 豪华套装,华晨宝马5系新能源发动机故障灯多次报警,"A34,A346,N318,",2020-08-27,信息审核
514535,长安汽车,奔奔EV,2017款 180公里 标准型,长安奔奔EV轻踩刹车时车轮抱死异响,"E270,",2020-08-27,信息审核
514525,中国重汽,豪沃,苍栏,中国重汽豪沃发动机无法启动缸盖损坏,"A44,",2020-08-27,信息审核
514524,东风日产,逍客,2017款 2.0L CVT 豪华版 国V,东风日产逍客变速箱顿挫挂挡困难希望质保,"B19,B20,",2020-08-27,用户评分
514521,沃尔沃亚太,沃尔沃S60,2015款 2.0T T5 智驭版,亚太沃尔沃S60油箱加油频繁跳枪影响使用,"H271,",2020-08-27,信息审核
514520,长安林肯,冒险家,2020款 2.0T 两驱 尊雅版,长安林肯冒险家车机黑屏转向灯失灵,"A44,D57,H202,",2020-08-27,信息审核
514519,吉利汽车,帝豪GS,2016款 1.3T 手动 领尚型 优雅版,吉利帝豪GS倒车影像摄像头进水不予质保,"A12,H134,H101,H67,I297,",2020-08-27,处理反馈
514516,东风日产,天籁,2020款 改款 2.0L XL 舒适版,东风日产天籁发动机与变速箱连接处漏油,"A12,B22,",2020-08-27,处理反馈
514509,东风标致,标致408,2018款 1.8L 自动 豪华版,东风标致408发动机烧机油要求尽快解决,"A63,",2020-08-27,处理反馈
514507,星途,星途TX,2019款 TXL 1.6T 两驱 钻石版,星途TX发动机启停故障电瓶亏电4S店不解决,"B96,B184,H146,H263,I295,",2020-08-27,信息审核
514505,一汽-大众,T-ROC探歌,2018款 280TSI DSG 两驱 豪华型 国VI,一汽大众探歌高压油泵异响希望厂家处理,"A9,",2020-08-27,处理反馈
514503,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408颠簸路面行驶后桥异响,"G158,",2020-08-27,处理反馈
514501,东风标致,标致3008,2013款 1.6T 自动 THP至尚版,东风标致3008蓄电池充电或供电系统故障,"H110,",2020-08-27,处理反馈
514499,福田汽车,奥铃,2007款 BJ1049V8JEA-B,北汽福田奥铃发动机高温缺水维修后未解决,"A191,J298,",2020-08-27,信息审核
514496,东风乘用车,风神AX7,2019款 经典 230T 手动 精英型 国V,东风风神AX7刹车失灵希望厂家解决处理,"E29,I295,I293,",2020-08-27,处理反馈
514494,上汽大众,朗逸,2013款 1.6L 自动 风尚版 改款,上汽大众朗逸车内异味严重要求厂家解决,"H185,",2020-08-27,处理反馈
514491,广汽丰田,雷凌,2019款 双擎 1.8H E-CVT 豪华版 国VI,广汽丰田雷凌USB提示拔出蓝牙音乐卡顿,"H155,H110,I295,I293,I281,",2020-08-27,信息审核
514490,一汽-大众,迈腾,2013款 1.8TSI 尊贵型,一汽大众迈腾车内异味更换隔音棉后未解决,"H185,",2020-08-27,处理反馈
514486,吉利汽车,帝豪GL,2018款 1.8L 自动 精英智联型,吉利帝豪GL变速箱顿挫严重 车内异响,"B19,H185,",2020-08-27,信息审核
514484,奥迪（进口）,奥迪Q8,2019款 45 TFSI 豪华致雅型,奥迪Q8行驶中天窗异响要求尽快处理,"H89,",2020-08-27,信息审核
514481,广汽丰田,雷凌,2019款 185T CVT 尊享版 国VI,广汽丰田雷凌转向异响存在严重质量问题,"D59,",2020-08-27,信息审核
514480,北汽银翔,幻速S3L,2016款 1.5L 尊享型,北汽幻速S3L低速行驶底盘异响希望厂家解决,"G56,O326,",2020-08-27,信息审核
514479,众泰汽车,大迈X7,2017款 1.8T 手动 尊贵型,众泰大迈X7终身保养承诺不兑现,"L314,",2020-08-27,信息审核
514477,猎豹汽车,Mattu,2018款 1.6T GDI DCT 尊贵型,猎豹Mattu变速箱无动力输出ESC系统报警,"A34,B334,E74,I294,",2020-08-27,信息审核
514474,华晨宝马,宝马5系新能源,2018款 530Le 豪华套装,华晨宝马5系新能源高压电池频繁出现故障,"H343,",2020-08-27,处理反馈
514472,上汽大众,朗逸,2017款 1.6L 手动 舒适版,上汽大众朗逸车内异味持续存在无法去除,"H185,",2020-08-27,处理反馈
514471,华晨宝马,宝马X1,2020款 sDrive20Li 时尚型,华晨宝马X1踩油门电流声很大要求解决,"A9,",2020-08-27,信息审核
514467,SWM斯威汽车,SWM斯威X7,2016款 1.5T 豪华型,斯威X7远程控制无法使用 坡道辅助功能缺失,"H155,O348,",2020-08-27,厂家受理
514462,一汽-大众,速腾,2015款 230TSI  自动 豪华型,一汽大众速腾变速箱行驶过程中异响,"B33,",2020-08-26,处理反馈
514458,长城汽车,炮,2019款 2.0T 商用版 手动 四驱 精英型 长箱 GW4D20M 柴油,长城炮低速四驱分动箱严重异响 4S店不解决,"H86,I295,",2020-08-26,处理反馈
514455,上汽集团,锐腾,2016款 1.5TGI TST 精英版,上汽名爵锐腾变速箱换挡不顺畅顿挫严重,"B19,B20,",2020-08-26,用户评分
514454,东风日产,轩逸,2019款 1.6XL CVT 豪华版 经典,东风日产轩逸4S店销售人员强制搭售,"K325,",2020-08-26,处理反馈
514447,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸车内异味严重要求厂家解决,"H185,",2020-08-26,处理反馈
514444,众泰汽车,众泰T600 Coupe,2017款 1.5T 自动 尊贵型,众泰T600 Coupe排气管漏气厂家无配件,"H31,N318,",2020-08-26,信息审核
514442,一汽丰田,普拉多,2019款 3.5L 自动 TX-L尊享版 后挂备胎,一汽丰田普拉多座椅骨架生锈4S店不予解决,"H79,I295,I282,I281,",2020-08-26,信息审核
514440,上汽大众,朗逸,2017款 1.6L 手动 舒适版,上汽大众朗逸一键启动无法使用4S店不解决,"H240,I295,",2020-08-26,处理反馈
514433,上汽集团,荣威350,2013款 1.5L 手动 迅驰版  350S,上汽荣威350正时链条拉长要求解决,"A24,A34,A163,A45,",2020-08-26,处理反馈
514431,广汽菲克菲亚特,菲翔,2013款 1.4T  周年纪念版,广汽菲亚特菲翔变速箱故障导致不能挂倒挡,"B20,",2020-08-26,厂家受理
514427,一汽-大众,宝来,2020款 1.5L 自动 舒适型,一汽大众宝来4S店销售问题车要求处理,"M284,",2020-08-26,处理反馈
514426,星途,星途LX,2019款 1.6T DCT 星尊版,星途LX后备箱饰板与密封胶条处有瑕疵不贴合,"H168,",2020-08-26,信息审核
514425,一汽-大众,高尔夫,2015款 1.4TSI 自动 舒适型,一汽大众高尔夫飞轮生锈导致运转时异响,"A9,",2020-08-26,信息审核
514424,长城汽车,哈弗H2,2016款 1.5T 手动 两驱精英型,哈弗H2高速行驶时车辆出现自燃的现象,"H40,",2020-08-26,处理反馈
514423,上汽通用五菱,五菱宏光,2016款 1.5L 舒适型 S,上汽通用五菱宏光车门出现生锈的现象,"H79,",2020-08-26,处理反馈
514421,上汽大众,朗逸,2013款 1.6L 手动 风尚版,上汽大众朗逸自购车起车内一直存在异味,"H185,",2020-08-26,处理反馈
514420,一汽-大众,迈腾,2017款 330TSI DSG 领先型,一汽大众迈腾变速箱机电控制单元故障,"B96,B84,",2020-08-26,处理反馈
514419,江铃福特,领界,2019款 EcoBoost 145 CVT 铂领型 国VI,江铃福特领界电瓶亏电导致发动机无法启动,"H146,",2020-08-26,处理反馈
514417,东风日产,轩逸,2019款 1.6XL CVT 豪华版 经典,东风日产轩逸加速行驶时变速箱顿挫有异响,"B33,B19,",2020-08-26,信息审核
514416,华晨中华,中华V7,2018款 280T DCT 尊贵型 5座,中华V7车辆解锁时四门玻璃自动下降,"H67,H197,",2020-08-26,信息审核
514410,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾行驶过程中发动机熄火,"A14,",2020-08-26,信息审核
514408,福田汽车,欧马可,2007款 欧马可N BJ1049V8PD6-3,福田欧马可油箱变形 液位传感器故障,"H271,H234,",2020-08-26,信息审核
514406,广汽本田,飞度,2014款 1.5L 手动 LX舒适型,广汽本田飞度启动时异响希望尽快处理,"A9,",2020-08-26,处理反馈
514397,长安马自达,马自达3 昂克赛拉,2016款 1.5L 手动 豪华型 三厢,长安马自达昂克赛拉中控屏幕边缘开裂,"H168,",2020-08-26,处理反馈
514396,奇瑞汽车,捷途X70,2018款 1.5T 手动 悦行版,捷途X70车身生锈天窗漏水离合踏板脚垫开裂,"H79,H168,H109,H90,",2020-08-26,用户评分
514394,广汽本田,冠道,2017款 370TURBO 自动 两驱 豪华版,广汽本田冠道后备箱左侧严重漏水,"H109,",2020-08-26,用户评分
514386,上汽通用五菱,五菱宏光V,2019款 1.5L 劲取版 L2B,上汽通用五菱宏光V变速箱异响希望厂家处理,"B33,",2020-08-26,处理反馈
514385,一汽-大众,宝来,2020款 1.5L 自动 舒适型,一汽大众宝来经销商出售问题车尾灯有色差,"M284,",2020-08-26,处理反馈
514382,上汽集团,锐腾,2016款 1.5TGI 手动 超值版,上汽名爵锐腾变速箱顿挫换挡异响严重,"B33,B19,",2020-08-26,处理反馈
514379,东风日产,轩逸,2018款 1.6XV CVT 尊享版,东风日产轩逸变速箱顿挫异响希望厂家处理,"B33,B19,",2020-08-26,处理反馈
514376,广汽丰田,YARiS L 致炫,2019款 1.5E CVT 魅动版 国VI,广汽丰田致炫行驶中方向盘无法自动回正,"D154,",2020-08-26,信息审核
514375,一汽红旗,红旗H5,2019款 30TD 智联灵动版,一汽红旗H5行驶中方向跑偏四轮定位未解决,"G117,",2020-08-26,信息审核
514374,广汽丰田,凯美瑞,2007款 240G 豪华版,广汽丰田凯美瑞中控台开裂发动机烧机油,"A63,H176,",2020-08-26,信息审核
514372,一汽-大众,高尔夫,2015款 1.6L 自动 舒适型,一汽大众高尔夫仪表提示变速箱故障灯亮,"B96,",2020-08-26,信息审核
514371,北京越野,北京BJ20,2016款 1.5T CVT 尊贵型,北京BJ20车门空调压缩机异响希望厂家处理,"E159,H101,H72,",2020-08-26,信息审核
514368,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国VI,一汽大众奥迪A4L变速箱阀体有故障,"B33,B19,B84,",2020-08-26,信息审核
514367,江铃福特,领界,2019款 EcoBoost 145 CVT 铂领型 国V,江铃福特领界自动启停功能无法使用轮毂腐蚀,"H243,H263,",2020-08-26,处理反馈
514365,上汽大众,桑塔纳,2017款 1.6L 手动 风尚型 Cross,上汽大众桑塔纳车辆自燃导致严重损失,"H40,",2020-08-26,处理反馈
514360,广汽三菱,欧蓝德,2019款 2.0L 两驱 畅享版 5座 国VI,广汽三菱欧蓝德抖动顿挫噪音大 厂家不解决	,"A38,B19,",2020-08-26,厂家受理
514357,北京现代,领动,2020款 1.4T 双离合 炫动·活力型,北京现代领动方向盘凸起 锦湖轮胎鼓包,"F39,H157,",2020-08-26,信息审核
514356,君马汽车,君马S70,2018款 1.5T 自动 豪华型 5座,君马S70大灯进水 电瓶亏电 方向机故障,"D265,H146,H88,",2020-08-26,信息审核
