id,brand,car_model,type,desc,problem,datetime,status
513877,东风标致,标致2008,2020款 230THP 风尚天窗版,东风标致2008 4S店强制要求购买库存车,"K325,",2020-08-25,处理反馈
513876,沃尔沃亚太,沃尔沃S90,2020款 T5 智逸豪华版,沃尔沃亚太S90车内共振异响希望处理,"H268,H164,",2020-08-25,信息审核
513874,沃尔沃亚太,沃尔沃S60新能源,2015款 2.0T 智驭版 E驱混动,沃尔沃S60新能源空调压缩机故障导致不制冷,"H101,",2020-08-25,信息审核
513872,广汽丰田,汉兰达,2018款 2.0T 四驱 尊贵版 7座 国VI,广汽丰田汉兰达低速行驶变速箱顿挫异响,"B33,B19,",2020-08-25,处理反馈
513869,上汽大众,凌渡,2019款 230TSI DSG 视野版 国VI,上汽大众凌渡冷车行驶时刹车盘有异响,"E43,",2020-08-25,处理反馈
513861,北京现代,索纳塔九,2015款 1.6T 双离合 GLS智能型,北京现代索纳塔九导航黑屏死机要求更换,"H134,",2020-08-25,信息审核
513855,上汽大众,桑塔纳,2019款 1.5L 手动 风尚版 国VI,上汽大众桑塔纳发动机运转时噪音大,"A38,",2020-08-25,处理反馈
513854,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动变速箱异响失去动力要求处理,"B33,B334,G117,H79,I295,J298,",2020-08-25,处理反馈
513850,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度起动机故障导致启动困难,"A44,",2020-08-25,处理反馈
513849,广汽菲克菲亚特,致悦,2014款 1.4T 自动 舒适型,广汽菲亚特致悦行驶中变速箱失去动力,"B334,",2020-08-25,厂家受理
513845,吉利汽车,帝豪GL,2017款 1.8L 手动 精英型,吉利帝豪GL下雨天前车门无法解锁 把手掉漆,"H81,H68,H103,H197,",2020-08-25,处理反馈
513842,一汽大众,捷达VS5,2019款 280TSI 自动 进取型,捷达VS5玲珑轮胎开裂存在质量问题,"F100,",2020-08-25,处理反馈
513841,北京现代,悦动,2018款 1.6L 自动 悦目版 GL 国VI,北京现代悦动发动机出现启动困难,"A44,",2020-08-25,信息审核
513840,东风日产,逍客,2017款 2.0L CVT 精英版 国V,东风日产逍客行驶中变速箱顿挫4S店不予保修,"B19,I297,",2020-08-25,处理反馈
513838,广汽讴歌,讴歌CDX,2018款 2.0L 两驱 创享版 Hybrid,广汽讴歌CDX加速时动力电池异味要求解决,"Q322,",2020-08-25,用户评分
513835,广汽丰田,汉兰达,2018款 2.0T 四驱 豪华版 7座 国V,广汽丰田汉兰达挡把掉皮 挂挡时挡杆处异响,"B184,H179,",2020-08-25,处理反馈
513831,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动跑高速时岀现方向卡滞,"D123,",2020-08-25,处理反馈
513830,东风标致,标致4008,2019款 400THP 尝先版,东风标致4008续保押金到期不退还,"K309,",2020-08-25,用户评分
513824,东风日产,奇骏,2014款 2.0L XL CVT 两驱 舒适版,东风日产奇骏行驶中刹车过硬刹车失灵,"E29,E333,",2020-08-25,处理反馈
513823,一汽-大众,高尔夫,2011款 1.6 自动 舒适型,一汽大众高尔夫变速箱故障 离合器飞轮损坏,"B96,C17,",2020-08-25,处理反馈
513821,力帆汽车,轩朗,2017款 1.5T 自动 豪华型,力帆轩朗行驶中熄火全车断电 刹车方向失灵,"A14,B95,D59,G52,H67,",2020-08-25,信息审核
513818,东风汽车,御风,2020款 2.3T 经济型 标配版 物流车 短轴 中顶 5-9座 WP2.3,东风御风发动机气门折断4S店不予保修,"A251,I297,",2020-08-25,信息审核
513816,东风标致,标致408,2018款 350THP 自动 豪华版 改款,东风标致408固特异轮胎开裂要求厂家处理,"F100,",2020-08-25,处理反馈
513810,领克汽车,领克01,2017款 2.0T 自动 两驱 型,领克01倒车影像不显示 车机反馈不准确,"H134,H155,O348,",2020-08-25,处理反馈
513809,吉利汽车,远景X3,2020款 1.5L CVT 尊贵型,吉利远景X3车漆脱落行驶中突然熄火,"A14,H81,",2020-08-25,处理反馈
513808,长安汽车,长安UNI-T,2020款 1.5T 旗舰型,长安UNI-T经销商出售展车不予解决,"I295,M284,",2020-08-25,厂家受理
513806,东风日产,天籁,2019款 2.0L XL 舒适版,东风日产天籁减震器异响刹车异响变速箱顿挫,"B19,E43,G52,",2020-08-25,处理反馈
513805,长城汽车,哈弗H2s,2017款 1.5T 手动 精英型 蓝标,哈弗H2s中控台副驾侧鼓包严重要求处理,"H176,",2020-08-25,处理反馈
513804,一汽-大众奥迪,奥迪Q3,2019款 35 TFSI 进取动感型,一汽大众奥迪Q3安全带锁扣开裂要求解决,"H168,I297,",2020-08-25,信息审核
513802,上汽大众,途昂,2017款 380TSI 四驱 舒适版,上汽大众途昂后排座椅异响维修未解决,"H169,",2020-08-25,处理反馈
513794,一汽-大众,宝来,2019款 改款 1.5L 自动 舒适型 国VI,一汽大众宝来EPC故障灯亮 抖动 加速无力,"A24,A34,A160,",2020-08-25,处理反馈
513792,广汽丰田,汉兰达,2018款 2.0T 两驱 精英版 5座 国V,广汽丰田汉兰达4S店销售赠送贴膜不兑现,"K307,O353,",2020-08-25,用户评分
513790,长城汽车,炮,2019款 2.0T 商用版 手动 四驱 精英型 长箱 GW4D20M 柴油,长城炮变速箱低速四驱异响厂家不予解决,"B33,I295,",2020-08-25,厂家受理
513788,东风本田,思铂睿,2017款 2.0L CVT 经典版,东风本田思铂睿4S店售后承诺保养不兑现,"H146,J298,L314,",2020-08-25,处理反馈
513786,东风雷诺,科雷傲,2017款 2.5L 四驱 尊贵版,东风雷诺科雷傲挡把按钮和空调调节按钮损坏,"H168,",2020-08-25,信息审核
513785,奇瑞汽车,艾瑞泽EX,2019款 1.5L CVT 乐活版 国V,奇瑞艾瑞泽EX车身异响严重变速箱无法加速,"B334,H15,",2020-08-25,用户评分
513784,东风小康,风光330,2018款 1.5L 330S 精典型 国V DK15,东风风光330行驶中右后车轮半轴损坏,"G204,",2020-08-25,处理反馈
513782,一汽-大众奥迪,奥迪A4L,2016款 2.0T CVT 自标准型 典藏版,一汽大众奥迪A4L发动机节温器漏防冻液,"A37,",2020-08-25,信息审核
513779,东风标致,标致408,2014款 1.6T 自动 尊贵版,东风标致408电瓶亏电 4S店不解决问题,"H146,I295,",2020-08-25,处理反馈
513775,广汽本田,冠道,2019款 240TURBO 两驱 舒享版,广汽本田冠道后车窗密封条出现断裂,"H48,",2020-08-25,处理反馈
513772,上汽通用五菱,宝骏630,2011款 1.5L 手动 标准型,宝骏630漆面鼓包希望厂家处理,"H81,",2020-08-25,处理反馈
513755,东风悦达起亚,起亚K3,2016款 1.6L 自动 GLS,东风悦达起亚K3打方向时存在严重异响,"D59,",2020-08-25,处理反馈
513749,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L车窗升降异响 热车怠速抖动,"A9,E42,H72,",2020-08-25,信息审核
513748,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾新车行驶中变速箱异响,"B33,",2020-08-25,处理反馈
513746,吉利汽车,帝豪GL,2017款 1.3T 手动 精英型,吉利帝豪GL正常行驶中离合器失效影响使用,"C267,J298,J301,",2020-08-25,处理反馈
513745,江淮汽车,瑞风S3,2016款 1.5L 手动 豪华智能型,江淮瑞风S3前胎吃胎严重存在质量问题,"G245,",2020-08-25,处理反馈
513744,福特（进口）,探险者（进口）,2018款 2.3T 精英版,进口福特探险者变速箱外壳漏油希望处理,"B22,",2020-08-25,厂家受理
513738,一汽-大众奥迪,奥迪Q2L,2018款 35TFSI 上市专享版 国Ⅵ,一汽大众奥迪Q2L电瓶故障希望厂家处理,"H146,",2020-08-25,信息审核
513734,奇瑞新能源,艾瑞泽5e,2018款 450 智享版,奇瑞艾瑞泽5e空调不制冷希望处理,"H101,",2020-08-25,厂家受理
513732,吉利汽车,远景S1,2018款 1.4T CVT 锋驰型,吉利远景S1发动机抖动共振希望厂家处理,"A24,H268,",2020-08-25,处理反馈
513730,北京现代,索纳塔九,2016款 2.0L 自动 hybrid HE  智能型,北京现代索纳塔九配件不按时到货价格谎报,"K307,N320,",2020-08-25,处理反馈
513726,东风日产,奇骏,2014款 2.5L XV CVT 四驱 至尊版,东风日产奇骏变速箱顿挫无法加速,"B19,B334,",2020-08-25,处理反馈
513725,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜发白影响夜间照明,"H82,",2020-08-25,处理反馈
513716,东风本田,艾力绅,2016款 2.4L 经典版,东风本田艾力绅召回换燃油泵导致泄露汽油,"J300,",2020-08-25,处理反馈
513711,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版Pro,一汽大众探岳车机网络连接异常希望厂家处理,"H155,",2020-08-25,处理反馈
513707,长安马自达,马自达3 昂克赛拉,2017款 1.5L 自动 舒适型 三厢 国V,长安马自达昂克赛拉定损后4S店未喷漆,"N321,",2020-08-25,处理反馈
513701,东风日产,奇骏,2014款 2.0L XL CVT 两驱 舒适版,东风日产奇骏变速器顿挫脱挡 无法加速,"B19,B96,B246,",2020-08-25,处理反馈
513696,BEIJING汽车,BEIJING-X3,2019款 1.5T 手动 荣耀版,北京汽车BEIJING-X3经销商不退订金,"K309,",2020-08-25,处理反馈
513690,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸韩泰轮胎龟裂存在质量问题,"F100,",2020-08-25,用户评分
513685,东风日产,阳光,2016款 1.5XE CVT 领先版,东风日产阳光变速箱拖挡4S店拒绝保修,"B69,",2020-08-25,处理反馈
513683,广汽丰田,凯美瑞,2007款 240G 豪华版,广汽丰田凯美瑞中控仪表台软化异味,"H176,",2020-08-25,处理反馈
513682,上汽大众,途安,2011款 1.4TSI DSG 智雅版 5座,上汽大众途安变速箱顿挫希望厂家处理,"B19,",2020-08-25,处理反馈
513680,一汽-大众,迈腾,2015款 1.8TSI 豪华型 改款,一汽大众迈腾轮速传感器故障要求解决,"E74,E62,",2020-08-25,处理反馈
513677,上汽大通,上汽大通MAXUS T60,2019款 2.8T 柴油 手动 四驱 高底盘 先锋版 长厢 国V,上汽MAXUS T60分动器损坏4S店不保修,"H86,I297,",2020-08-25,处理反馈
513673,广汽讴歌,讴歌CDX,2016款 1.5T 两驱尊享版,广汽讴歌CDX升降挡时变速箱顿挫严重,"B19,",2020-08-25,处理反馈
513672,广汽乘用车,传祺GM6,2019款 270T 自动 尊贵版（六座）国VI,广汽传祺GM6方向机和车身抖动要求解决,"D80,H268,H67,",2020-08-25,处理反馈
513671,长城汽车,哈弗H8,2015款 2.0T 四驱 豪华型 5座,哈弗H8保险盒总成故障电瓶故障灯亮,"A9,H146,H110,",2020-08-25,处理反馈
513666,一汽-大众,高尔夫,2010款 1.4TSI 自动 舒适型,一汽大众高尔夫变速箱故障灯亮 挂挡不走,"B334,B77,B115,",2020-08-25,处理反馈
513664,上汽通用五菱,五菱宏光,2015款 1.5L 基本型 S 国V,上汽通用五菱宏光随车工具千斤顶无法使用,"N317,",2020-08-25,处理反馈
513663,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动ABS和牵引力控制灯报警,"E74,",2020-08-25,信息审核
513662,吉利汽车,博瑞,2020款 1.5T MHEV 耀尊版,吉利博瑞发动机抖动严重希望处理,"A24,",2020-08-25,处理反馈
513658,上汽大众,朗逸,2019款 1.5L 自动 风尚版 国VI,上汽大众朗逸发动机漏油维修未解决问题,"A12,",2020-08-25,处理反馈
513656,一汽大众,捷达VS5,2019款 280TSI 自动 进取型,捷达VS5后视镜调节失灵 4S店不提供合同,"H211,I293,L313,O353,",2020-08-25,厂家受理
513652,上汽大众,途观L,2018款 330TSI 自动 两驱 旗舰版,上汽大众途观L变速箱无法提速存在质量问题,"B334,",2020-08-25,处理反馈
513650,东风日产,奇骏,2019款 2.0L CVT 舒适版 5座 2WD,东风日产奇骏大灯进水 反光碗出现腐蚀,"H88,",2020-08-25,处理反馈
513649,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸刹车时前轮位置存在异响,"E43,",2020-08-25,用户评分
513648,东风日产,轩逸,2016款 1.6XL CVT 尊享版,东风日产轩逸变速箱挂挡抖动 发动机熄火,"A14,B95,",2020-08-25,处理反馈
513642,一汽-大众,迈腾,2019款 330TSI DSG 领先型 国V,一汽大众迈腾变速箱故障机电单元损坏,"B84,",2020-08-25,用户评分
513641,东风日产,劲客,2017款 1.5L CVT 智行版,东风日产劲客优科豪马轮胎鼓包起皮,"F186,F39,",2020-08-25,处理反馈
513638,吉利汽车,经典帝豪,2012款 1.5L 手动 超悦型 两厢,吉利经典帝豪车身腐蚀生锈希望处理,"H79,",2020-08-25,处理反馈
513637,东风日产,骐达TIIDA,2016款 1.6L CVT 酷动版,东风日产骐达变速箱异响很严重希望处理,"B33,",2020-08-25,处理反馈
513629,广汽本田,飞度,2004款 两厢飞度 1.5 AT CVT,广汽本田飞度行驶中变速箱顿挫刹车抖动,"B19,E111,",2020-08-25,处理反馈
513623,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408固特异轮胎出现裂纹影响安全,"F100,",2020-08-25,厂家受理
513619,比亚迪,比亚迪S6,2013款 劲悦版 2.0L 手动 精英型 5座,比亚迪S6车身漆面起泡开裂希望处理,"H81,",2020-08-25,用户评分
513615,吉利汽车,帝豪GL,2019款 1.4T 手动 精英智享型,吉利帝豪GL底盘异响 车门生锈 换挡异响,"B20,C65,G52,H79,",2020-08-25,用户评分
513613,东风日产,奇骏,2014款 2.0L XL CVT 两驱 舒适版,东风日产奇骏变速箱顿挫希望厂家解决,"B19,",2020-08-25,处理反馈
513612,广汽丰田,YARiS L 致享,2017款 1.3E 手动 魅动版,广汽丰田致享4S店不给机动车登记证尾灯异物,"H82,O353,",2020-08-25,处理反馈
513607,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳大灯透镜脏污影响驾驶安全,"H82,",2020-08-25,处理反馈
513602,一汽奔腾,奔腾T77,2019款 230 TID 自动 尊享型 国V,一汽奔腾T77金属件有锈迹希望厂家解决,"H79,",2020-08-25,处理反馈
513593,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透视发白影响驾驶安全,"H82,",2020-08-25,处理反馈
513590,众泰汽车,众泰T600,2016款 2.0T  自动 尊贵型 运动版,众泰T600变速箱无法换挡 温度过高,"B246,",2020-08-25,信息审核
513588,一汽-大众奥迪,奥迪Q3,2020款 35 TFSI 时尚动感型,一汽大众奥迪Q3底盘异响 变速箱换挡异响,"B33,G56,I293,",2020-08-24,信息审核
513587,上汽通用五菱,五菱荣光新卡,2018款 1.5L双排L3C,上汽通用五菱荣光新卡经销商出售库存车,"A160,M283,",2020-08-24,处理反馈
513586,奇瑞汽车,艾瑞泽5,2018款 1.5L CVT 致敬青春版,奇瑞艾瑞泽5起步刹车异响 门框掉漆,"E43,H81,H119,",2020-08-24,处理反馈
513582,华晨宝马,宝马3系,2016款 316i 时尚型,华晨宝马3系转向沉重 故障灯亮希望处理,"D156,D291,H203,",2020-08-24,信息审核
513578,上汽大众,途观,2016款 280TSI 自动 两驱 丝绸之路舒适版,上汽大众途观发动机EPC故障灯亮多次返修,"A34,J298,",2020-08-24,处理反馈
513577,一汽大众,捷达VS7,2020款 1.4T 自动 悦享型,捷达VS7前风挡漏水 后视镜异响 刹车异响,"E43,H109,H211,",2020-08-24,处理反馈
513570,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜冷启动发动机抖动严重,"A24,",2020-08-24,信息审核
513569,上汽通用五菱,新宝骏RS-5,2019款 1.5T CVT 智能驾控豪华版 国V,新宝骏RS-5行驶中变速箱失去动力要求解决,"B334,B246,I295,I294,",2020-08-24,用户评分
513567,华晨中华,中华H3,2017款 1.5L 手动 精英型,中华H3转向卡滞异响要求厂家给予解决,"D59,D123,I295,",2020-08-24,信息审核
513563,知豆电动车,知豆D2,2017款 D2S,知豆D2交流转换器无配件厂家不予解决,"I295,N318,",2020-08-24,厂家受理
513560,广汽丰田,雷凌,2019款 185T CVT 豪华版 国V,广汽丰田雷凌发动机异响4S店无法解决,"A9,I295,",2020-08-24,处理反馈
513559,上汽大众,途岳,2020款 280TSI 两驱 豪华版 国VI,上汽大众途岳换挡时变速箱低速异响顿挫,"B33,B19,",2020-08-24,处理反馈
513558,北京现代,名图,2017款 1.8L 自动 智能型 GLS 国V,北京现代名图发动机异响4S店无法解决,"A9,",2020-08-24,信息审核
513550,比亚迪,比亚迪S7,2015款 2.0T 自动 尊贵型,比亚迪S7变速箱顿挫 方向盘抖动 行驶跑偏,"B19,D80,G56,G117,",2020-08-24,处理反馈
513549,华晨宝马,宝马3系,2019款 320Li M运动曜夜版,华晨宝马3系主驾驶侧遮阳板连接杆断裂,"H168,",2020-08-24,厂家受理
513548,长安汽车,长安UNI-T,2020款 1.5T 尊贵型,长安UNI-T正常行驶过程中转向系统锁死,"D123,",2020-08-24,用户评分
513538,东风本田,杰德,2020款 1.8L 自动 舒适版,东风本田杰德发动机异响开启空调怠速抖动,"A9,A35,H121,",2020-08-24,处理反馈
513528,一汽-大众,迈腾,2019款 330TSI DSG 豪华型 国V,一汽大众迈腾中控台石英钟和仪表盘裂纹,"H168,",2020-08-24,用户评分
513523,长安汽车,长安CS55,2018款 1.5T 自动 炫色型 国V,长安CS55更换配件后发动机异响更加严重,"A9,",2020-08-24,信息审核
513518,广汽丰田,雷凌,2017款 185T CVT 精英版 国V 改款,广汽丰田雷凌行驶不平整路段中控台异响,"H93,",2020-08-24,处理反馈
513516,上汽通用五菱,宝骏310W,2017款 1.5L 手动 舒适型 国VI,宝骏310W方向盘助力失效4S店更换非原厂配件,"D265,N319,",2020-08-24,用户评分
513514,一汽-大众,宝来,2016款 1.6L 自动 舒适型,一汽大众宝来天窗密封不到位导致漏水,"H90,",2020-08-24,处理反馈
513504,上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L变速箱跳挡希望厂家处理,"B19,B27,B208,",2020-08-24,处理反馈
513502,东风日产,天籁,2020款 2.0L XL 舒适版,东风日产天籁中控黑屏油箱异响希望厂家处理,"H134,H147,",2020-08-24,处理反馈
513495,长安汽车,长安CS85 COUPE,2019款 1.5T DCT 动版 国VI,长安CS85 COUPE变速箱顿挫希望厂家处理,"A14,B19,",2020-08-24,信息审核
513489,华晨宝马,宝马X1,2018款 sDrive18Li 尊享型,华晨宝马X1天窗异响希望厂家处理问题,"H89,",2020-08-24,处理反馈
513487,长安汽车,欧力威,2013款 1.2 手动 精英版,长安欧尚欧力威方向盘沉重升降器有故障,"D156,H67,",2020-08-24,信息审核
513483,一汽-大众,宝来,2020款 1.5L 自动 精英型,一汽大众宝来发动机抖动希望尽快处理,"A24,",2020-08-24,处理反馈
513473,东风悦达起亚,起亚KX7,2017款 2.0T 四驱 DLX,东风悦达起亚KX7起步抖动 动力消失,"A24,B95,",2020-08-24,处理反馈
513472,长安跨越,新豹3,2019款 1.5L 标准型 双排 后单轮 标准 货箱DK15C,长安跨越新豹3变速箱破损希望尽快处理,"B22,B77,",2020-08-24,处理反馈
513467,东风日产,天籁,2016款 2.0L XL 舒适版 改款,东风日产天籁变速箱阀体故障要求延保,"B84,",2020-08-24,处理反馈
513465,上汽大众,帕萨特新能源,2019款 430PHEV 混动 豪华版,上汽大众帕萨特新能源混合动力出现故障	,"A34,",2020-08-24,信息审核
513460,长安汽车,长安CS55,2017款 1.5T 手动 炫色型,长安CS55打方向异响 维修后未解决,"D59,",2020-08-24,信息审核
513458,长城汽车,欧拉黑猫,2021款 351km 标准型,欧拉黑猫远程控制无法使用 蓝牙无法控制,"H155,",2020-08-24,处理反馈
513456,华晨宝马,宝马5系,2019款 530Li xDrive M运动套装,华晨宝马5系方向机异响 售后不予保修,"D59,I297,",2020-08-24,处理反馈
513448,东风日产,逍客,2016款 2.0L CVT 精英版,东风日产逍客保养之后变速箱故障,"B84,",2020-08-24,处理反馈
513444,东风标致,标致307,2010款 307两厢 2.0 自动 运动版,东风标致307油箱多功能阀破裂导致有汽油味,"H271,",2020-08-24,用户评分
513443,东风风行,景逸X5,2017款 1.5T CVT 尊享型 劲享系列,东风风行景逸X5车身漏水导致仪表失灵,"H109,",2020-08-24,处理反馈
513435,东风雪铁龙,雪铁龙C5,2012款 2.0 自动 尊享型,东风雪铁龙C5车窗升降器故障希望更换处理,"H67,",2020-08-24,用户评分
513434,奇瑞汽车,艾瑞泽5,2017款 1.5L 手动 领潮版,奇瑞艾瑞泽5整车故障多厂家不予解决,"I295,I293,",2020-08-24,厂家受理
513430,一汽奔腾,奔腾T77,2020款 PRO 280 TID 自动 尊享型,一汽奔腾T77空调排水管堵塞 导致车内积水,"H101,",2020-08-24,处理反馈
513415,DS汽车,DS 7,2018款 45THP 里沃利先锐版,长安标致雪铁龙DS7车窗异响厂家未解决问题	,"H72,",2020-08-24,信息审核
513414,一汽-大众奥迪,奥迪Q5L,2018款 45 TFSI 尊享时尚型 国V,一汽大众奥迪Q5L全轮驱动故障灯报警,"H86,",2020-08-24,信息审核
513408,北京现代,现代ix35,2019款 2.0L 自动 两驱 智勇·畅享版 国VI,北京现代ix35发动机油耗无故增多,"A85,",2020-08-24,处理反馈
513407,一汽-大众,高尔夫,2020款 挚爱版 280TSI DSG 舒适型,一汽大众高尔夫发动机漏防冻液希望处理,"A37,",2020-08-24,处理反馈
513404,一汽-大众奥迪,奥迪A4L,2013款 2.0T 自动 舒适型,一汽大众奥迪A4L机油损耗异常 发动机漏油,"A12,A63,",2020-08-24,信息审核
513400,东风标致,标致5008,2017款 350THP 精英版 7座,东风标致5008转向异响4S店维修后未解决,"D59,J298,",2020-08-24,处理反馈
513397,奇瑞汽车,瑞虎7,2016款 1.5T 手动 电商版,奇瑞瑞虎7离合器不回弹导致无法挂挡,"C267,",2020-08-24,处理反馈
513396,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳大灯透镜出现裂纹亮度不足,"H82,H220,I295,",2020-08-24,处理反馈
513395,中兴汽车,领主,2016款 2.5T 两驱 豪华型JE4D25E,中兴领主三元催化器破损厂家拒绝索赔,"H54,Q322,",2020-08-24,信息审核
513392,一汽丰田,皇冠,2015款 2.0T 时尚版,一汽丰田皇冠方向盘掉皮希望处理	,"H168,",2020-08-24,信息审核
513389,广汽本田,锋范经典,2012款 1.5L 手动 舒适版,广汽本田锋范发动机仓内部件生锈要求解决,"H79,",2020-08-24,处理反馈
513384,上汽大众,凌渡,2015款 280TSI 手动 舒适版,上汽大众凌渡车内异味严重希望处理,"H185,",2020-08-24,处理反馈
513379,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质雅版,长安马自达昂克赛拉转向沉重4S店不予解决,"D156,I295,",2020-08-24,处理反馈
513371,大众（进口）,Passat,2011款 2.0T 舒适型 旅行版,进口大众Passat半轴异响4S店不予保修,"G227,I297,",2020-08-24,信息审核
513369,长安马自达,马自达3 昂克赛拉,2017款 1.5L 自动 豪华型 三厢 国V,长安马自达昂克赛拉行驶中发动机抖动,"A24,",2020-08-24,处理反馈
513367,东风悦达起亚,KX3傲跑,2020款 1.5L CVT 智慧版,东风悦达起亚KX3傲跑中控屏死机中控台异响,"H134,H93,H155,H179,",2020-08-24,处理反馈
513366,上汽大众,凌渡,2019款 280TSI DSG 豪华版 国V,上汽大众凌渡变速箱升挡时异响严重,"B33,",2020-08-24,处理反馈
513363,吉利汽车,帝豪GL,2017款 1.8L 自动 精英型,吉利帝豪GL下雨天车门无法开启希望处理,"H149,",2020-08-24,处理反馈
